Make,Year,Fuel ,HP,Cylinders,Transmission Type,Driven_Wheels,Doors,Size,highway MPG,city mpg,Price
BMW,2011,premium unleaded (required),335,6,MANUAL,rear wheel drive,2,Compact,26,19,46135
BMW,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,28,19,40650
BMW,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,28,20,36350
BMW,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,18,29450
BMW,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,18,34500
BMW,2012,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,18,31200
BMW,2012,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,26,17,44100
BMW,2012,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,28,20,39300
BMW,2012,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,18,36900
BMW,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,27,18,37200
BMW,2013,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,28,20,39600
BMW,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,19,31500
BMW,2013,premium unleaded (required),300,6,MANUAL,rear wheel drive,2,Compact,28,19,44400
BMW,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,19,37200
BMW,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2,Compact,28,19,31500
BMW,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,25,18,48250
BMW,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2,Compact,28,20,43550
Audi,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,24,17,2000
Audi,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,24,17,2000
Audi,1992,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,20,16,2000
Audi,1992,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,24,17,2000
Audi,1992,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,21,16,2000
Audi,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,24,17,2000
Audi,1993,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,20,16,2000
Audi,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,24,17,2000
Audi,1993,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,24,17,2000
Audi,1993,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,21,16,2000
Audi,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,21,16,2000
Audi,1994,regular unleaded,172,6,MANUAL,all wheel drive,4,Midsize,22,16,2000
Audi,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Midsize,22,17,2000
Audi,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4,Midsize,22,16,2000
Audi,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Midsize,21,16,2000
FIAT,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,35,26,27495
FIAT,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,35,26,24995
FIAT,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2,Compact,35,26,28195
Mercedes-Benz,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,26,18,2000
Mercedes-Benz,1991,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,25,17,2000
Mercedes-Benz,1992,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,25,17,2000
Mercedes-Benz,1992,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,26,18,2000
Mercedes-Benz,1993,regular unleaded,130,4,MANUAL,rear wheel drive,4,Compact,26,18,2000
Mercedes-Benz,1993,regular unleaded,158,6,MANUAL,rear wheel drive,4,Compact,25,17,2000
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Compact,35,23,32850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Compact,34,23,38650
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,31,20,48750
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,35,23,34850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Compact,34,22,40650
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,31,20,44150
BMW,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,Compact,34,22,32850
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2,Compact,30,20,46150
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,Compact,30,20,50750
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,Compact,31,21,46450
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,Compact,32,21,49050
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,Compact,32,21,51050
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,Compact,32,21,44450
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Compact,34,23,38950
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Compact,35,24,33150
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Compact,33,24,35150
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Compact,33,23,40950
Audi,1990,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,20,16,2000
Audi,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,22,15,2000
Audi,1990,regular unleaded,162,5,MANUAL,all wheel drive,4,Midsize,23,15,2000
Audi,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,22,16,2000
Audi,1991,regular unleaded,217,5,MANUAL,all wheel drive,4,Midsize,22,16,2000
Audi,1991,regular unleaded,162,5,AUTOMATIC,front wheel drive,4,Midsize,20,16,2000
Chrysler,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,25170
Chrysler,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,23950
Chrysler,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,29,18,29370
Chrysler,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,21995
Chrysler,2015,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,26625
Chrysler,2015,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,29,18,30825
Chrysler,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,21995
Chrysler,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,27795
Chrysler,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,29,18,31785
Chrysler,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,29,18,29905
Chrysler,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,22490
Chrysler,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,27570
Chrysler,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,25690
Chrysler,2016,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,24490
Chrysler,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,28,18,29905
Chrysler,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,28,18,31785
Chrysler,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,26685
Chrysler,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,22490
Chrysler,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,25690
Chrysler,2017,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,Midsize,28,18,30900
Chrysler,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,27795
Chrysler,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,21995
Chrysler,2017,flex-fuel (unleaded/E85),184,4,AUTOMATIC,front wheel drive,4,Midsize,36,23,24490
Nissan,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,36,26,2000
Nissan,1996,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,36,26,2000
Nissan,1996,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,29,21,2000
Nissan,1997,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,29,21,2000
Nissan,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,35,25,2000
Nissan,1997,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,35,25,2000
Nissan,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,35,25,2000
Nissan,1998,regular unleaded,115,4,MANUAL,front wheel drive,2,Compact,35,25,2000
Nissan,1998,regular unleaded,140,4,MANUAL,front wheel drive,2,Compact,28,20,2073
Nissan,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,26,19,3713
Nissan,1996,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,26,19,3520
Nissan,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,26,19,3910
Nissan,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,26,19,4182
Nissan,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,26,19,4107
Nissan,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,25,20,4299
Nissan,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,25,20,4693
Nissan,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Compact,25,20,4107
Volvo,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,26,19,2000
Volvo,1991,regular unleaded,114,4,AUTOMATIC,rear wheel drive,4,Midsize,23,18,2000
Volvo,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,26,19,2000
Volvo,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,26,19,2000
Volvo,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,26,19,2000
Volvo,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,26,19,2000
Volvo,1993,regular unleaded,114,4,MANUAL,rear wheel drive,4,Midsize,26,19,2000
